Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5p26s,2D,5p3,2D°,4.9656e-09,4.9656e-09,0.0000e+00
5p26s,2P,5p3,2P°,2.6388e-08,1.8911e-08,7.4767e-09
5p26s,2P,5p3,2D°,2.6634e-08,1.9088e-08,7.5464e-09
5p26s,4P,5p3,4S°,5.7188e-09,6.6139e-09,-8.9515e-10
5p26s,4P,5p3,2D°,2.3585e-08,2.7277e-08,-3.6917e-09
