Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4d55p,6P°,2.0922e-08,2.6644e+04,1.9306e+07,3.7459e-17,5
4d65p,4F°,2.0408e-08,3.1114e+04,,,1
4d65p,6D°,1.0445e-08,2.7515e+04,4.2140e+04,5.9189e-19,2
4d65p,6F°,7.9466e-09,3.0100e+04,2.1760e+03,4.9751e-18,2
4d65p,6P°,6.2112e-09,3.1414e+04,,,1
