Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4s24p4d,1D°,7.3529e-09,4.8480e+04,,,1
4s24p4d,3D°,7.5789e-09,4.8996e+04,1.8030e+04,6.7695e-18,3
4s24p4d,3P°,1.6779e-08,5.1707e+04,7.2997e+04,5.3713e-18,3
4s24p5s,1P°,3.0386e-09,4.0021e+04,,,1
4s24p5s,3P°,3.5384e-09,3.8091e+04,8.0716e+05,1.6783e-20,3
