Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d104s4d,1D,2.1277e-08,6.2459e+04,,,1
3d104s4d,3D,6.1081e-09,6.2773e+04,1.7193e+01,3.9064e-20,3
3d104s4p,1P°,1.4006e-09,4.6745e+04,,,1
3d104s4p,3P°,2.6316e-05,3.2501e+04,,,1
3d104s5s,1S,4.1667e-08,5.5789e+04,,,1
3d94s25p,2[1/2]°,5.5556e-08,1.2593e+05,,,1
3d94s25p,2[3/2]°,1.0695e-07,1.2487e+05,3.9032e+06,9.3814e-15,2
3d94s26p,2[3/2]°,1.3158e-07,1.3063e+05,,,1
3d94s24p,3P°,3.2258e-08,9.0227e+04,,,1
