Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
6s26p6d,2[3/2]°,4.1379e-09,4.6065e+04,2.8896e+01,1.8790e-19,2
6s26p6d,2[5/2]°,1.5763e-08,4.5886e+04,3.9205e+05,1.8755e-16,2
6s26p7s,"(1/2,1/2)°",6.5591e-09,3.5124e+04,5.3568e+04,1.0956e-18,2
6s26p7s,"(3/2,1/2)°",5.4287e-09,4.8814e+04,7.8248e+05,7.0905e-19,2
6s26p8s,"(1/2,1/2)°",1.2837e-08,4.8687e+04,,,1
