atom,after remove n+2,before remove n+2,after remove ?,before remove ?
H I,18,374,374,374
He I,48,2289,2289,2289
Li I,42,257,257,257
Be I,81,394,394,394
B I,128,269,269,269
C I,625,1616,1616,1616
N I,801,1287,1287,1287
O I,388,854,854,854
F I,120,120,120,120
Ne I,338,533,533,533
Na I,105,523,523,523
Mg I,250,1090,1090,1090
Al I,84,322,322,322
Si I,472,637,637,639
P I,124,132,132,132
S I,299,913,913,913
Cl I,99,99,99,99
Ar I,263,428,428,428
K I,66,211,211,211
Ca I,98,136,136,136
Sc I,260,260,260,260
Ti I,496,496,496,496
V I,1252,1256,1256,1256
Cr I,522,522,522,522
Mn I,489,489,489,489
Fe I,2542,2542,2542,2542
Co I,336,336,336,337
Ni I,522,522,522,522
Cu I,37,37,37,37
Zn I,15,16,16,16
Ga I,13,23,23,23
Ge I,26,26,26,26
As I,14,14,14,14
Se I,0,0,0,0
Br I,53,54,54,54
Kr I,156,184,184,184
Rb I,15,40,40,40
Sr I,71,86,86,86
Y I,184,184,184,189
Zr I,0,0,0,0
Nb I,0,0,0,0
Mo I,498,498,498,498
Tc I,13,13,13,13
Ru I,11,11,11,11
Rh I,111,111,111,111
Pd I,8,8,8,8
Ag I,7,7,7,7
Cd I,18,18,18,18
In I,17,27,27,27
Sn I,52,55,55,55
Sb I,10,10,10,10
Te I,6,6,6,6
I I,5,5,5,5
Xe I,126,187,187,187
Cs I,12,42,42,42
Ba I,99,109,109,109
La I,289,289,289,305
Ce I,49,49,49,56
Pr I,0,0,0,0
Nd I,4,4,4,4
Pm I,0,0,0,0
Sm I,7,7,7,7
Eu I,137,137,137,142
Gd I,16,16,16,16
Tb I,0,0,0,0
Dy I,40,40,40,40
Ho I,12,12,12,12
Er I,10,10,10,10
Tm I,382,382,382,391
Yb I,4,4,4,5
Lu I,44,44,44,44
Hf I,187,187,187,187
Ta I,125,125,125,135
W I,121,121,121,121
Re I,0,0,0,0
Os I,0,0,0,0
Ir I,37,37,37,37
Pt I,166,166,166,166
Au I,20,20,20,20
Hg I,48,53,53,53
Tl I,9,9,9,9
Pb I,28,28,28,28
Bi I,38,38,38,38
Po I,0,0,0,0
At I,0,0,0,0
Rn I,0,0,0,0
Fr I,20,149,149,149
Ra I,19,19,19,19
Ac I,50,50,50,50
Th I,0,0,0,0
Pa I,0,0,0,0
U I,0,0,0,0
Np I,0,0,0,0
Pu I,0,0,0,0
Am I,0,0,0,0
Cm I,0,0,0,0
Bk I,0,0,0,0
Cf I,0,0,0,0
Es I,0,0,0,0
Fm I,0,0,0,0
Md I,0,0,0,0
No I,0,0,0,0
Lr I,0,0,0,0
Rf I,0,0,0,0
Db I,0,0,0,0
Sg I,0,0,0,0
Bh I,0,0,0,0
Hs I,0,0,0,0
Mt I,0,0,0,0
Ds I,0,0,0,0
Rg I,0,0,0,0
Cn I,0,0,0,0
Nh I,0,0,0,0
Fl I,0,0,0,0
Mc I,0,0,0,0
Lv I,0,0,0,0
Ts I,0,0,0,0
Og I,0,0,0,0
