Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
94.5,94.4718,0.0010,*,1.4316e+08,AAA,476 034.98,-,581 886.70,1s2s,3S,1,1s4p,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
94.5,94.4724,0.0010,*,1.4316e+08,AAA,476 034.98,-,581 885.98,1s2s,3S,1,1s4p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
94.5,94.4728,0.0010,*,1.4317e+08,AAA,476 034.98,-,581 885.58,1s2s,3S,1,1s4p,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
96.5,96.5113,0.0010,*,7.5009e+07,AAA,494 261.17,-,597 875.94,1s2p,3P°,1,1s6d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
96.5,96.5117,0.0010,*,4.1676e+07,AAA,494 261.17,-,597 875.55,1s2p,3P°,1,1s6d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
96.5,96.5128,0.0010,*,1.0002e+08,AAA,494 263.44,-,597 876.60,1s2p,3P°,2,1s6d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
96.5,96.5135,0.0010,*,2.5002e+07,AAA,494 263.44,-,597 875.94,1s2p,3P°,2,1s6d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
96.5,96.5138,0.0010,*,2.7784e+06,AAA,494 263.44,-,597 875.55,1s2p,3P°,2,1s6d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
96.5,96.5167,0.0010,*,5.5568e+07,AAA,494 266.57,-,597 875.55,1s2p,3P°,0,1s6d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
97.2,97.2188,0.0010,*,9.3945e+06,AAA,494 261.17,-,597 121.95,1s2p,3P°,1,1s6s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
97.2,97.2209,0.0010,*,1.5658e+07,AAA,494 263.44,-,597 121.95,1s2p,3P°,2,1s6s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
97.2,97.2239,0.0010,*,3.1320e+06,AAA,494 266.57,-,597 121.95,1s2p,3P°,0,1s6s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
98.8,98.7554,0.0010,,7.1912e+07,AAA,491 374.6,-,592 634.91,1s2s,1S,0,1s5p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
,98.8730,0.0010,,2.3373e+02,AAA,491 374.6,-,592 514.43,1s2s,1S,0,1s5d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,100.6944,0.0010,,4.6247e+07,AAA,501 808.59,-,601 119.02,1s2p,1P°,1,1s7d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,100.886,0.010,,1.3736e+07,AAA,501 808.59,-,600 930.,1s2p,1P°,1,1s7s,1S,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,101.7778,0.0010,,1.906e+04,AA,494 261.17,-,592 514.43,1s2p,3P°,1,1s5d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,101.7801,0.0010,,7.341e+03,AA,494 263.44,-,592 514.43,1s2p,3P°,2,1s5d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
101.8,101.7885,0.0010,*,1.3551e+08,AAA,494 261.17,-,592 504.09,1s2p,3P°,1,1s5d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
101.8,101.7889,0.0010,*,7.5298e+07,AAA,494 261.17,-,592 503.70,1s2p,3P°,1,1s5d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
101.8,101.7902,0.0010,*,1.8072e+08,AAA,494 263.44,-,592 504.75,1s2p,3P°,2,1s5d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
101.8,101.7909,0.0010,*,4.5171e+07,AAA,494 263.44,-,592 504.09,1s2p,3P°,2,1s5d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
101.8,101.7913,0.0010,*,5.0201e+06,AAA,494 263.44,-,592 503.70,1s2p,3P°,2,1s5d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
101.8,101.7945,0.0010,*,1.0041e+08,AAA,494 266.57,-,592 503.70,1s2p,3P°,0,1s5d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
103.2,103.1746,0.0010,*,1.6829e+07,AAA,494 261.17,-,591 184.26,1s2p,3P°,1,1s5s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
103.2,103.1770,0.0010,*,2.8050e+07,AAA,494 263.44,-,591 184.26,1s2p,3P°,2,1s5s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
103.2,103.1803,0.0010,*,5.6105e+06,AAA,494 266.57,-,591 184.26,1s2p,3P°,0,1s5s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
103.6,,,,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
,104.0865,0.0010,,7.6296e+07,AAA,501 808.59,-,597 882.52,1s2p,1P°,1,1s6d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,104.137,0.010,,1.927e+02,AA,501 808.59,-,597 836.,1s2p,1P°,1,1s6p,1P°,1,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,104.4147,0.0010,,2.2136e+07,AAA,501 808.59,-,597 580.53,1s2p,1P°,1,1s6s,1S,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
109.3,109.3428,0.0010,,1.3549e+08,AAA,491 374.6,-,582 830.11,1s2s,1S,0,1s4p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
,109.5814,0.0010,,7.846e+02,AA,491 374.6,-,582 630.95,1s2s,1S,0,1s4d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,110.1002,0.0010,,3.344e+02,AA,501 808.59,-,592 634.91,1s2p,1P°,1,1s5p,1P°,1,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
110.3,110.2465,0.0010,,1.4050e+08,AAA,501 808.59,-,592 514.43,1s2p,1P°,1,1s5d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
110.9,110.8882,0.0010,,3.9137e+07,AAA,501 808.59,-,591 989.55,1s2p,1P°,1,1s5s,1S,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
,113.1833,0.0010,,2.8865e+08,AAA,494 261.17,-,582 613.41,1s2p,3P°,1,1s4d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,113.1838,0.0010,,1.6039e+08,AAA,494 261.17,-,582 613.02,1s2p,3P°,1,1s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,113.1854,0.0010,,3.8494e+08,AAA,494 263.44,-,582 614.07,1s2p,3P°,2,1s4d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,113.1862,0.0010,,9.6217e+07,AAA,494 263.44,-,582 613.41,1s2p,3P°,2,1s4d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,113.1867,0.0010,,1.0693e+07,AAA,494 263.44,-,582 613.02,1s2p,3P°,2,1s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
113.21,113.1907,0.0010,,2.1375e+08,AAA,494 266.57,-,582 613.02,1s2p,3P°,0,1s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
114.1,,,,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
116.64,116.6587,0.0010,,3.5100e+07,AAA,494 261.17,-,579 981.33,1s2p,3P°,1,1s4s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
,116.6618,0.0010,,5.8470e+07,AAA,494 263.44,-,579 981.33,1s2p,3P°,2,1s4s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,116.6660,0.0010,,1.1694e+07,AAA,494 266.57,-,579 981.33,1s2p,3P°,0,1s4s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
119.809,119.8073,0.0010,*,2.8968e+08,AAA,476 034.98,-,559 502.32,1s2s,3S,1,1s3p,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
119.809,119.8086,0.0010,*,2.8968e+08,AAA,476 034.98,-,559 501.42,1s2s,3S,1,1s3p,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
119.809,119.8102,0.0010,*,2.8970e+08,AAA,476 034.98,-,559 500.35,1s2s,3S,1,1s3p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
,123.4240,0.0010,,6.4988e+02,AAA,501 808.59,-,582 830.11,1s2p,1P°,1,1s4p,1P°,1,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,123.7081,0.0010,,3.975e+03,AA,501 808.59,-,582 644.04,1s2p,1P°,1,1s4f,1F°,3,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3908&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3908&amp;type=E2,
123.8,123.7281,0.0010,,3.1125e+08,AAA,501 808.59,-,582 630.95,1s2p,1P°,1,1s4d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
125.38,125.3318,0.0010,,7.9535e+07,AAA,501 808.59,-,581 596.77,1s2p,1P°,1,1s4s,1S,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
142.089,142.0894,0.0010,,2.8308e+08,AAA,491 374.6,-,561 752.82,1s2s,1S,0,1s3p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4834&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=4834&amp;type=
,143.0635,0.0010,,4.7489e+03,AAA,491 374.6,-,561 273.62,1s2s,1S,0,1s3d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,149.2260,0.0010,,2.719e+05,AA,494 261.17,-,561 273.62,1s2p,3P°,1,1s3d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,149.2311,0.0010,,1.011e+05,AA,494 263.44,-,561 273.62,1s2p,3P°,2,1s3d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,149.2913,0.0010,,4.6733e+08,AAA,494 261.17,-,561 244.30,1s2p,3P°,1,1s3d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
149.293,149.2939,0.0010,3,8.4094e+08,AAA,494 261.17,-,561 243.15,1s2p,3P°,1,1s3d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
,149.2964,0.0010,,3.1155e+07,AAA,494 263.44,-,561 244.30,1s2p,3P°,2,1s3d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
149.297,149.2976,0.0010,5,1.1216e+09,AAA,494 263.44,-,561 243.77,1s2p,3P°,2,1s3d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
,149.2989,0.0010,,2.8031e+08,AAA,494 263.44,-,561 243.15,1s2p,3P°,2,1s3d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
149.304,149.3034,0.0010,1,6.2310e+08,AAA,494 266.57,-,561 244.30,1s2p,3P°,0,1s3d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
155.5,,,,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
