Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5s25p46s,2[1],5s25p5,2P°,1.4286e-07,,6.1820e+04,,7.6030e+03,,1
5s25p45d,2[1],5s25p5,2P°,4.8780e-09,,6.6355e+04,,7.6030e+03,,1
5s25p46s,2[2],5s25p5,2P°,1.3317e-07,3.0912e-14,5.5606e+04,7.0997e+05,2.5343e+03,1.9268e+07,3
