Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5p35d,3D°,5p4,3P,2.4510e-09,,5.8827e+04,,0.0000e+00,,1
5p36s,3S°,5p4,3P,1.3445e-08,1.1693e-16,4.6653e+04,7.9409e-23,3.1524e+03,7.4537e+06,3
5p36s,5S°,5p4,3P,4.9778e-07,3.5222e-13,4.4253e+04,0.0000e+00,2.3754e+03,1.1285e+07,2
