Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
1s22p,2P°,8.8586e-09,3.1932e+04,2.1622e+01,1.5088e-23,2
1s23d,2D,9.0409e-10,9.8055e+04,1.4045e-01,9.6544e-33,2
1s23p,2P°,5.4170e-09,9.6496e+04,1.8586e+00,1.8986e-23,2
1s23s,2S,2.4492e-09,8.8232e+04,,,1
1s24d,2D,2.0622e-09,1.1942e+05,2.8800e-02,2.9297e-23,2
1s24f,2F°,4.5177e-09,1.1945e+05,8.4500e-03,1.0206e-22,2
1s24p,2P°,8.1065e-09,1.1876e+05,3.2805e-01,1.9823e-22,2
1s24s,2S,4.1309e-09,1.1546e+05,,,1
