Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5d106s6d,1D,8.4746e-09,1.1517e+05,,,1
5d106s6p,1P°,5.9172e-10,7.5663e+04,,,1
5d106s6p,3P°,3.8462e-08,5.2394e+04,,,1
