Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5f,2F°,2.7027e-09,4.8988e+04,,,1
6f,2F°,3.7453e-08,5.9517e+04,,,1
7p,2P°,6.6179e-09,2.3780e+04,1.1798e+07,7.6135e-18,2
8p,2P°,5.4795e-08,5.2392e+04,,,1
