Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d64p,z 6D°,3.7043e-09,3.8820e+04,6.9616e+04,2.3819e-21,5
3d64p,z 6F°,3.2835e-09,4.2249e+04,3.2812e+04,6.0674e-21,6
3d64p,z 6P°,3.5588e-09,4.3173e+04,2.3498e+05,3.5993e-20,3
3d64s,a 4D,8.8754e+01,8.4686e+03,1.5241e+05,8.9959e+01,4
3d64s,a 6D,1.9471e+03,7.2303e+02,6.7160e+04,5.1303e+06,4
3d65d,4D,6.2558e-09,1.0508e+05,3.3799e+04,1.0663e-18,3
3d65d,4F,3.2230e-09,1.0459e+05,2.2789e+06,2.0505e-18,4
3d65d,4G,4.6915e-09,1.0529e+05,1.0992e+05,2.2886e-19,4
3d65d,4P,2.2942e-09,1.0701e+05,3.8099e+04,1.1398e-20,3
3d65d,6D,1.3253e-08,1.0466e+05,2.6627e+04,2.4999e-16,5
3d65d,6F,4.4400e-09,1.0427e+05,9.4935e+04,1.0753e-18,5
3d65d,6G,4.9204e-09,1.0490e+05,1.3025e+05,1.6597e-19,6
3d65d,6P,5.4454e-09,1.0433e+05,2.1826e+05,1.5403e-19,3
3d65p,6D°,1.4709e-08,8.9100e+04,9.8581e+04,5.2961e-17,5
3d65p,6F°,1.7613e-08,9.0390e+04,6.8537e+04,1.5121e-17,6
3d65p,w 6P°,2.5843e-09,9.1529e+04,1.1570e+05,7.7576e-20,3
3d65s,e 4D,2.8433e-09,7.9962e+04,1.5767e+05,1.9918e-20,4
3d65s,e 6D,2.3971e-09,7.8439e+04,1.5691e+05,6.0922e-21,5
3d66p,6F°,5.9704e-09,1.0753e+05,,,1
3d66s,4D,5.6529e-09,1.0290e+05,1.4873e+05,7.3006e-21,4
3d66s,6D,4.2620e-09,1.0225e+05,1.5475e+05,2.0659e-19,5
3d64f,2[3]°,5.3698e-09,1.0360e+05,1.8159e+05,2.0968e-19,10
3d64f,2[2]°,5.9129e-09,1.0349e+05,1.1042e+05,1.1859e-19,8
3d64f,2[4]°,5.3133e-09,1.0345e+05,1.6643e+05,2.1726e-19,8
3d64f,2[1]°,5.8471e-09,1.0341e+05,6.1781e+04,6.3965e-19,6
3d64f,2[5]°,5.1675e-09,1.0329e+05,1.4429e+05,1.1193e-19,6
3d64f,2[0]°,5.7504e-09,1.0342e+05,,,1
3d64f,2[6]°,4.8611e-09,1.0314e+05,1.0272e+05,4.4816e-19,4
3d64f,2[7]°,5.5763e-09,1.0303e+05,2.1387e+02,5.8387e-20,2
3d7,a 2D2,8.3333e+01,2.0517e+04,,,1
3d7,a 2G,7.4594e+00,1.6107e+04,1.3769e+05,1.0550e+01,2
3d7,a 4F,3.7852e+02,2.7952e+03,1.1949e+05,8.3781e+04,3
3d7,a 4P,2.0957e+01,1.3684e+04,4.6404e+04,3.3940e+00,3
