Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
1s2p,1P°,3.9102e-11,5.0181e+05,,,1
1s2p,3P°,4.4006e-08,4.9426e+05,7.3516e+00,5.4110e-23,3
1s2s,3S,4.9044e+01,4.7603e+05,,,1
1s3d,1D,9.9269e-10,5.6127e+05,,,1
1s3d,3D,8.9150e-10,5.6124e+05,3.3130e-01,3.6810e-29,3
1s3p,1P°,1.2427e-10,5.6175e+05,,,1
1s3p,3P°,3.4217e-09,5.5950e+05,9.7263e-01,1.8265e-26,3
1s3s,1S,4.8783e-09,5.5878e+05,,,1
1s3s,3S,3.4983e-09,5.5475e+05,,,1
