Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
274.25002,8e-05,660000.0,0.0,36452.295,4d5s2,a 2D,3/2,4d2(1D)5p,w 2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9421&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=9421&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
294.84025,9e-05,35600000.0,0.0,33906.761,4d5s2,a 2D,3/2,4d2(3F)5p,x 2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
297.45861,9e-05,35200000.0,0.0,33608.312,4d5s2,a 2D,3/2,4d2(3F)5p,x 2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
298.425284,2e-05,47800000.0,530.351,34029.802,4d5s2,a 2D,5/2,4d2(3F)5p,x 2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
299.525466,1.3000000000000001e-05,5100000.0,530.351,33906.761,4d5s2,a 2D,5/2,4d2(3F)5p,x 2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
299.69430,9e-05,8400000.0,0.0,33357.608,4d5s2,a 2D,3/2,4d2(3F)5p,y 4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
300.52598,9e-05,4700000.0,0.0,33265.298,4d5s2,a 2D,3/2,4d2(3F)5p,y 4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9421&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=9421&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
302.228076,1.3000000000000001e-05,6600000.0,530.351,33608.312,4d5s2,a 2D,5/2,4d2(3F)5p,x 2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
303.846861,1.3000000000000001e-05,520000.0,530.351,33432.092,4d5s2,a 2D,5/2,4d2(3F)5p,z 2G°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9421&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=9421&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
304.536308,1.3000000000000001e-05,10700000.0,530.351,33357.608,4d5s2,a 2D,5/2,4d2(3F)5p,y 4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
