Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
387.5776,7900000.0,20371.0,46164.971,3p63d4s,3D,3.0,3p64s6f,3F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6097&amp;comment_code=&amp;element=Ca&amp;spectr_charge=1&amp;ref=6097&amp;type=
387.5804,890000.0,20371.0,46164.785,3p63d4s,3D,3.0,3p64s6f,3F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6097&amp;comment_code=&amp;element=Ca&amp;spectr_charge=1&amp;ref=6097&amp;type=
387.5826,35000.0,20371.0,46164.644,3p63d4s,3D,3.0,3p64s6f,3F°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=654&amp;comment_code=&amp;element=Ca&amp;spectr_charge=1&amp;ref=654&amp;type=,
394.89,3340000.0,15157.901,40474.241,3p64s4p,3P°,0.0,3p64s6s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6097&amp;comment_code=&amp;element=Ca&amp;spectr_charge=1&amp;ref=6097&amp;type=
395.7054,9800000.0,15210.063,40474.241,3p64s4p,3P°,1.0,3p64s6s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6097&amp;comment_code=&amp;element=Ca&amp;spectr_charge=1&amp;ref=6097&amp;type=
397.3708,17500000.0,15315.943,40474.241,3p64s4p,3P°,2.0,3p64s6s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6097&amp;comment_code=&amp;element=Ca&amp;spectr_charge=1&amp;ref=6097&amp;type=
409.2632,11000000.0,20335.36,44762.62,3p63d4s,3D,1.0,3p64s5f,3F°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,
409.4925,12000000.0,20349.26,44762.839,3p63d4s,3D,2.0,3p64s5f,3F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,
409.4962,2100000.0,20349.26,44762.62,3p63d4s,3D,2.0,3p64s5f,3F°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,
409.8528,13000000.0,20371.0,44763.118,3p63d4s,3D,3.0,3p64s5f,3F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=539&amp;comment_code=n&amp;element=Ca&amp;spectr_charge=1&amp;ref=539&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6097&amp;comment_code=&amp;element=Ca&amp;spectr_charge=1&amp;ref=6097&amp;type=
