Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
146.5559,0.0006,340000000.0,28647.43,96880.8,2s2p2,4P,1/2,2p3,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
146.5658,0.0005,660000000.0,28652.07,96880.8,2s2p2,4P,3/2,2p3,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
146.5794,0.0005,1000000000.0,28658.4,96880.8,2s2p2,4P,5/2,2p3,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
157.3301,0.0004,44200000.0,0.0,63560.638,2s22p,2P°,1/2,2s2p2,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
157.3679,0.0004,88400000.0,15.287,63560.638,2s22p,2P°,3/2,2s2p2,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
158.7337,0.0006,28000000.0,28647.43,91646.02,2s2p2,4P,1/2,2s2p(3P°)3d,4P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
158.7381,0.0006,70000000.0,28647.43,91644.26,2s2p2,4P,1/2,2s2p(3P°)3d,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
158.7454,0.0006,140000000.0,28652.07,91646.02,2s2p2,4P,3/2,2s2p(3P°)3d,4P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
158.7498,0.0006,23000000.0,28652.07,91644.26,2s2p2,4P,3/2,2s2p(3P°)3d,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
158.7591,0.0006,50000000.0,28652.07,91640.6,2s2p2,4P,3/2,2s2p(3P°)3d,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
158.7658,0.0005,75000000.0,28658.4,91644.26,2s2p2,4P,5/2,2s2p(3P°)3d,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
158.7750,0.0006,120000000.0,28658.4,91640.6,2s2p2,4P,5/2,2s2p(3P°)3d,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
166.6849,0.0004,86600000.0,0.0,59993.45,2s22p,2P°,1/2,2s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7192&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=7192&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
166.7273,0.0004,104000000.0,15.287,59993.45,2s22p,2P°,3/2,2s24d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7192&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=7192&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
166.7273,0.0004,17300000.0,15.287,59993.45,2s22p,2P°,3/2,2s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7192&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=7192&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
181.784357,0.000008,31200000.0,0.0,55010.2338,2s22p,2P°,1/2,2s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7192&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=7192&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u29&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=
181.834888,0.000009,62200000.0,15.287,55010.2338,2s22p,2P°,3/2,2s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7192&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=7192&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u29&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=
182.589392,0.000009,170000000.0,0.0,54767.6944,2s22p,2P°,1/2,2s23d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7194&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=7194&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u29&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=
182.639890,0.000010,204000000.0,15.287,54767.8387,2s22p,2P°,3/2,2s23d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7194&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=7194&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u29&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=
