Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
1 141.5084+,0.003,610000.0,79986.618,88744.559,5p5(2P°3/2)5d,2[1/2]°,1,5p5(2P°3/2)7p,2[3/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7293&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7293&amp;type=
1 149.1263+,0.003,512000.0,79986.618,88686.5,5p5(2P°3/2)5d,2[1/2]°,1,5p5(2P°3/2)7p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7293&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7293&amp;type=
1 195.1212+,0.01,600000.0,79986.618,88351.681,5p5(2P°3/2)5d,2[1/2]°,1,5p5(2P°3/2)7p,2[5/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7293&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7293&amp;type=
1 195.3082+,0.003,300000.0,80322.746,88686.5,5p5(2P°3/2)5d,2[3/2]°,2,5p5(2P°3/2)7p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7293&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7293&amp;type=
1 208.4814+,0.003,1170000.0,80196.629,88469.213,5p5(2P°3/2)5d,2[7/2]°,4,5p5(2P°3/2)7p,2[5/2],3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7293&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7293&amp;type=
1 223.5248+,0.003,1390000.0,77269.145,85440.017,5p5(2P°3/2)6p,2[1/2],1,5p5(2P°3/2)7s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7293&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7293&amp;type=
1 225.7763+,0.003,730000.0,79771.267,87927.131,5p5(2P°3/2)5d,2[1/2]°,0,5p5(2P°3/2)7p,2[1/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7293&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7293&amp;type=
1 227.1902+,0.05,254000.0,80322.746,88469.213,5p5(2P°3/2)5d,2[3/2]°,2,5p5(2P°3/2)7p,2[5/2],3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4085&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=4085&amp;type=
1 245.1545+,0.01,328000.0,80322.746,88351.681,5p5(2P°3/2)5d,2[3/2]°,2,5p5(2P°3/2)7p,2[5/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 259.0200+,0.01,2200000.0,79986.618,87927.131,5p5(2P°3/2)5d,2[1/2]°,1,5p5(2P°3/2)7p,2[1/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 262.3396+,0.003,5970000.0,77269.145,85188.777,5p5(2P°3/2)6p,2[1/2],1,5p5(2P°3/2)7s,2[3/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7293&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7293&amp;type=
1 295.6435+,,23000.0,80970.438,88686.5,5p5(2P°3/2)5d,2[7/2]°,3,5p5(2P°3/2)7p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,
1 314.6712+,,15000.0,80322.746,87927.131,5p5(2P°3/2)5d,2[3/2]°,2,5p5(2P°3/2)7p,2[1/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,
1 333.187+,,171000.0,80970.438,88469.213,5p5(2P°3/2)5d,2[7/2]°,3,5p5(2P°3/2)7p,2[5/2],3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2228&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=2228&amp;type=
1 354.415+,0.01,1150000.0,80970.438,88351.681,5p5(2P°3/2)5d,2[7/2]°,3,5p5(2P°3/2)7p,2[5/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 365.706+,0.01,6800000.0,78119.798,85440.017,5p5(2P°3/2)6p,2[5/2],2,5p5(2P°3/2)7s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 414.245+,0.01,1800000.0,78119.798,85188.777,5p5(2P°3/2)6p,2[5/2],2,5p5(2P°3/2)7s,2[3/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 466.080+,0.01,410000.0,81925.514,88744.559,5p5(2P°3/2)5d,2[5/2]°,2,5p5(2P°3/2)7p,2[3/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 473.281+,0.01,8670000.0,78403.061,85188.777,5p5(2P°3/2)6p,2[5/2],3,5p5(2P°3/2)7s,2[3/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 478.670+,,69000.0,81925.514,88686.5,5p5(2P°3/2)5d,2[5/2]°,2,5p5(2P°3/2)7p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,
1 527.770+,,25000.0,81925.514,88469.213,5p5(2P°3/2)5d,2[5/2]°,2,5p5(2P°3/2)7p,2[5/2],3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4117&amp;comment_code=c2&amp;element=Xe&amp;spectr_charge=1&amp;ref=4117&amp;type=
