Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
321.6450,0.0013,,,130,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
325.7769,0.0004,325.77711,0.00018,86,,,2 231.432,-,32 918.416,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>P)7p,4S°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
328.8900,0.0004,328.8897,0.0003,280,5.2e+07,D+,0.000,-,30 396.57,6d7s2,a 2D,3/2,6d<sup>2</sup>(<sup>3</sup>F)7p,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
330.2370,0.0013,,,340,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
330.3281,0.0004,330.32777,0.00021,310,,,2 231.432,-,32 495.681,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>P)7p,4D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
332.0650,0.0013,,,380,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
333.0260,0.0013,,,85,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
335.0060,0.0013,,,110,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
338.0960,0.0004,338.09588,0.00021,330,,,2 231.432,-,31 800.350,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>F)7p,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
339.1410,0.0013,,,69,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
