Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
119.5289,0.0002,,,110,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
121.8411,0.0002,121.84109,0.00006,1400,,,0.000,-,82 074.12,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)11s,2[2],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
122.4049,0.0002,122.40500,0.00006,4400,,,0.000,-,81 696.01,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)9d,2[3],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
122.4077,0.0002,122.40770,0.00006,4400,,,0.000,-,81 694.21,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)9d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
122.8888,0.0002,122.88888,0.00006,3800,,,0.000,-,81 374.33,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)10s,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
125.1335,0.0002,125.133452,0.000011,5400,,,0.000,-,79 914.682,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)9s,2[2],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
125.9153,0.0002,125.915264,0.000011,24000,,,0.000,-,79 418.489,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)7d,2[2],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
125.9511,0.0002,125.951093,0.000011,29000,,,0.000,-,79 395.897,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)7d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
126.1268,0.0002,126.126828,0.000011,7700,,,0.000,-,79 285.273,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
126.7569,0.0002,126.756871,0.000011,6100,,,0.000,-,78 891.187,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=368&amp;comment_code=&amp;element=I&amp;spectr_charge=1&amp;ref=368&amp;type=
