Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
32.02926,0.00010,32.02935,0.00012,10*,,,[169 087.8308131],-,481 301.5,1s2p,3P°,0,2p<sup>2</sup>,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1341&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=1341&amp;type=
32.02926,0.00010,32.02924,0.00012,10*,,,[169 086.7664725],-,481 301.5,1s2p,3P°,2,2p<sup>2</sup>,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1341&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=1341&amp;type=
32.02926,0.00010,32.02925,0.00012,10*,,,[169 086.8428979],-,481 301.5,1s2p,3P°,1,2p<sup>2</sup>,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1341&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=1341&amp;type=
50.561,0.006,50.550037,0.000005,2,,,0.0000,-,[197 823.79],1s2,1S,0,1s15p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14923&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14923&amp;type=
50.575,0.006,50.568435,0.000005,3,,,0.0000,-,[197 751.82],1s2,1S,0,1s14p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14923&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14923&amp;type=
50.590,0.006,50.591252,0.000005,4,,,0.0000,-,[197 662.63],1s2,1S,0,1s13p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14923&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14923&amp;type=
50.631,0.006,50.620035,0.000005,5,,,0.0000,-,[197 550.24],1s2,1S,0,1s12p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14923&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14923&amp;type=
50.656,0.002,50.657055,0.000005,7,,,0.0000,-,[197 405.87],1s2,1S,0,1s11p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14922&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14922&amp;type=
50.708,0.002,50.7058021,0.0000003,10,1.5929e+07,AAA,0.0000,-,[197 216.0895622],1s2,1S,0,1s10p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14922&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14922&amp;type=
50.771,0.002,50.7718095,0.0000003,15,2.1826e+07,AAA,0.0000,-,[196 959.6928160],1s2,1S,0,1s9p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14922&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14922&amp;type=
50.863,0.002,50.8643376,0.0000003,20,3.1031e+07,AAA,0.0000,-,[196 601.4002470],1s2,1S,0,1s8p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14922&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14922&amp;type=
50.997,0.002,50.9998293,0.0000003,25,4.6224e+07,AAA,0.0000,-,[196 079.0875698],1s2,1S,0,1s7p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14922&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14922&amp;type=
,,51.0132988,0.0000003,,1.07e-02,C,0.0000,-,[196 027.3150267],1s2,1S,0,1s7p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=5612&amp;type=M2,
51.207,0.002,51.2098563,0.0000003,35,7.3174e+07,AAA,0.0000,-,[195 274.9084660],1s2,1S,0,1s6p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14922&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14922&amp;type=
,,51.2135642,0.0000003,,2.6480e+02,AAA,0.0000,-,[195 260.77050808],1s2,1S,0,1s6d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=7378&amp;type=E2,
,,51.2314128,0.0000003,,1.53e-02,C,0.0000,-,[195 192.7429742],1s2,1S,0,1s6p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=5612&amp;type=M2,
51.5596,0.0020,51.5616842,0.0000003,50,1.2582e+08,AAA,0.0000,-,[193 942.462294],1s2,1S,0,1s5p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14922&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14922&amp;type=
,,51.5681115,0.0000003,,4.3136e+02,AAA,0.0000,-,[193 918.28990114],1s2,1S,0,1s5d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=7378&amp;type=E2,
,,51.5993988,0.0000003,,2.64e-02,C,0.0000,-,[193 800.707595],1s2,1S,0,1s5p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=5612&amp;type=M2,
52.2186,0.0020,52.2213086,0.0000003,100,2.4356e+08,AAA,0.0000,-,[191 492.711909],1s2,1S,0,1s4p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14922&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14922&amp;type=
,,52.2339260,0.0000003,,7.4848e+02,AAA,0.0000,-,[191 446.4557405],1s2,1S,0,1s4d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=7378&amp;type=E2,
,,52.2965942,0.0000003,,5.2e-02,C,0.0000,-,[191 217.040967],1s2,1S,0,1s4p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=5612&amp;type=M2,
53.70293,0.00005,53.7029918,0.0000003,400,5.6634e+08,AAA,0.0000,-,[186 209.364940],1s2,1S,0,1s3p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=551&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=551&amp;type=
