Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
737.783,0.23,0.0,13550.39,3p63d9,2D,5/2,3p63d8(3F)4s,2F,7/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=E2,
741.161,3.3e-05,1506.94,14995.57,3p63d9,2D,3/2,3p63d8(3F)4s,2F,5/2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=M1,
741.161,0.18,1506.94,14995.57,3p63d9,2D,3/2,3p63d8(3F)4s,2F,5/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=E2,
761.272,0.18,10663.89,23796.18,3p63d8(3F)4s,4F,3/2,3p63d8(1D)4s,2D,3/2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=M1,
761.272,0.00014,10663.89,23796.18,3p63d8(3F)4s,4F,3/2,3p63d8(1D)4s,2D,3/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=E2,
769.456,0.013999999999999999,10115.66,23108.28,3p63d8(3F)4s,4F,5/2,3p63d8(3P)4s,4P,5/2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=M1,
769.456,0.00016,10115.66,23108.28,3p63d8(3F)4s,4F,5/2,3p63d8(3P)4s,4P,5/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=E2,
803.354,0.01,10663.89,23108.28,3p63d8(3F)4s,4F,3/2,3p63d8(3P)4s,4P,5/2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=M1,
803.354,1.3000000000000001e-05,10663.89,23108.28,3p63d8(3F)4s,4F,3/2,3p63d8(3P)4s,4P,5/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=E2,
830.099,0.013000000000000001,1506.94,13550.39,3p63d9,2D,3/2,3p63d8(3F)4s,2F,7/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=E2,
870.387,0.08900000000000001,13550.39,25036.38,3p63d8(3F)4s,2F,7/2,3p63d8(1D)4s,2D,5/2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=M1,
870.387,4.3e-05,13550.39,25036.38,3p63d8(3F)4s,2F,7/2,3p63d8(1D)4s,2D,5/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4240&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=4240&amp;type=E2,
