Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
4 030.08,0.23,0.0119,266281.62,268762.96,2s22p53s,3P°,0.0,2s22p53s,1P°,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
4 051.4,1.0,0.00036,297635.61,300103.92,2s22p53p,3D,2.0,2s22p53p,3P,2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
4 270.5,1.0,0.00472,298165.44,300507.11,2s22p53p,3D,1.0,2s22p53p,3P,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
4 444.9,1.0,0.0236,297635.61,299885.37,2s22p53p,3D,2.0,2s22p53p,1P,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
4 499.7,1.0,0.0189,298165.44,300387.82,2s22p53p,3D,1.0,2s22p53p,3P,0,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
5 151.6,1.0,0.0069,297248.82,299189.96,2s22p53p,3D,3.0,2s22p53p,1D,2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
5 158.7,1.0,0.0043100000000000005,298165.44,300103.92,2s22p53p,3D,1.0,2s22p53p,3P,2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
5 814.2,1.0,0.0098,298165.44,299885.37,2s22p53p,3D,1.0,2s22p53p,1P,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
6 433.6,1.0,0.0027199999999999998,297635.61,299189.96,2s22p53p,3D,2.0,2s22p53p,1D,2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
7 367.6,1.0,1e-07,264924.32,266281.62,2s22p53s,3P°,2.0,2s22p53s,3P°,0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5256&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=5256&amp;type=E2,
7 592.1,1.0,0.0101,299189.96,300507.11,2s22p53p,1D,2.0,2s22p53p,3P,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
9 760.7,1.0,0.00173,298165.44,299189.96,2s22p53p,3D,1.0,2s22p53p,1D,2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
10 941.4,1.0,0.00575,299189.96,300103.92,2s22p53p,1D,2.0,2s22p53p,3P,2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
13 066.8,1.0,0.009640000000000001,264924.32,265689.62,2s22p53s,3P°,2.0,2s22p53s,3P°,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
14 380,3.0,0.00032900000000000003,299189.96,299885.37,2s22p53p,1D,2.0,2s22p53p,1P,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
16 083.9,1.0,0.000603,299885.37,300507.11,2s22p53p,1P,1.0,2s22p53p,3P,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
16 891.9,1.0,0.0107,265689.62,266281.62,2s22p53s,3P°,1.0,2s22p53s,3P°,0,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c46&amp;element=Na&amp;spectr_charge=2&amp;ref=&amp;type=M1,
18 874,5.0,0.00505,297635.61,298165.44,2s22p53p,3D,2.0,2s22p53p,3D,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
19 902.5,1.0,0.0019,299885.37,300387.82,2s22p53p,1P,1.0,2s22p53p,3P,0,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
24 802,9.0,0.0007070000000000001,300103.92,300507.11,2s22p53p,3P,2.0,2s22p53p,3P,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
25 854,9.0,0.0012900000000000001,297248.82,297635.61,2s22p53p,3D,3.0,2s22p53p,3D,2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
45 756,30.0,4.24e-05,299885.37,300103.92,2s22p53p,1P,1.0,2s22p53p,3P,2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
83 829,99.0,2.08e-05,300387.82,300507.11,2s22p53p,3P,0.0,2s22p53p,3P,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=Na&amp;spectr_charge=2&amp;ref=7663&amp;type=M1,
