Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
283.4079+,780000.0,74893.66,110168.11,4d95s2,2D,3/2,4d95s(3D)5p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
298.1906+,1270000.0,74893.66,108419.47,4d95s2,2D,3/2,4d104f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
316.4403+,730000.0,89689.25,121281.64,4d105d,2D,3/2,4d95s(3D)5p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
317.9958+,850000.0,89843.78,121281.64,4d105d,2D,5/2,4d95s(3D)5p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
325.0293+,2780000.0,44136.08,74893.66,4d105p,2P°,1/2,4d95s2,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3315&amp;comment_code=n&amp;element=Cd&amp;spectr_charge=2&amp;ref=3315&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3486&amp;type=
328.3561+,1400000.0,89689.25,120135.22,4d105d,2D,3/2,4d95s(3D)5p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
330.0312+,180000.0,89843.78,120135.22,4d105d,2D,5/2,4d95s(3D)5p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
338.5482+,3330000.0,89843.78,119373.19,4d105d,2D,5/2,4d95s(3D)5p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
338.8889+,1700000.0,82990.66,112490.39,4d106s,2S,1/2,4d107p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
340.4222+,180000.0,89689.25,119056.11,4d105d,2D,3/2,4d95s(3D)5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
